Год,Номер недели,Work
2021,52,0
2022,1,17
2022,2,1026
2022,3,910
2022,4,679
2022,5,571
2022,6,698
2022,7,637
2022,8,556
2022,9,1050
2022,10,691
2022,11,1209
2022,12,1248
2022,13,1418
2022,14,1370
2022,15,1436
2022,16,1314
2022,17,1172
2022,18,933
2022,19,990
2022,20,1203
2022,21,1176
2022,22,1154
2022,23,1112
2022,24,1013
2022,25,1127
2022,26,963
2022,27,1034
2022,28,1026
2022,29,1050
2022,30,975
2022,31,934
2022,32,899
2022,33,951
2022,34,1059
2022,35,896
2022,36,974
2022,37,1020
2022,38,1219
2022,39,1020
2022,40,1230
2022,41,1055
2022,42,1124
2022,43,1199
2022,44,936
2022,45,1168
2022,46,1367
2022,47,1523
2022,48,1428
2022,49,1525
2022,50,1419
2022,51,1504
2022,52,1302
2023,1,266
2023,2,1479
2023,3,1470
2023,4,1552
2023,5,1598
2023,6,1783
2023,7,1648
2023,8,1119
2023,9,1718
2023,10,1316
2023,11,1691
2023,12,1701
2023,13,1656
2023,14,1828
2023,15,1837
2023,16,1801
2023,17,1780
2023,18,1545
2023,19,1216
2023,20,1726
2023,21,1799
2023,22,1801
2023,23,1853
2023,24,1671
2023,25,1810
2023,26,1854
2023,27,1414
2023,28,1456
2023,29,1425
2023,30,1499
2023,31,1500
2023,32,1539
2023,33,1433
2023,34,1480
2023,35,1487
2023,36,1481
2023,37,1474
2023,38,1158
2023,39,1633
2023,40,1625
2023,41,1722
2023,42,1807
2023,43,1828
2023,44,1810
2023,45,1956
2023,46,1995
2023,47,2002
2023,48,1885
2023,49,1902
2023,50,1895
2023,51,1726
2023,52,1294
2024,1,84
2024,2,1427
2024,3,1816
2024,4,2102
