Date,Work
01/01/22,17
03/01/22,1026
10/01/22,910
17/01/22,679
24/01/22,571
31/01/22,698
07/02/22,637
14/02/22,556
21/02/22,1050
28/02/22,691
07/03/22,1209
14/03/22,1248
21/03/22,1418
28/03/22,1370
04/04/22,1436
11/04/22,1314
18/04/22,1172
25/04/22,933
02/05/22,990
09/05/22,1203
16/05/22,1176
23/05/22,1154
30/05/22,1112
06/06/22,1013
13/06/22,1127
20/06/22,963
27/06/22,1034
04/07/22,1026
11/07/22,1050
18/07/22,975
25/07/22,934
01/08/22,899
08/08/22,951
15/08/22,1059
22/08/22,896
29/08/22,974
05/09/22,1020
12/09/22,1219
19/09/22,1020
26/09/22,1230
03/10/22,1055
10/10/22,1124
17/10/22,1199
24/10/22,936
31/10/22,1168
07/11/22,1367
14/11/22,1523
21/11/22,1428
28/11/22,1525
05/12/22,1419
12/12/22,1504
19/12/22,1302
01/01/23,266
02/01/23,1479
09/01/23,1470
16/01/23,1552
23/01/23,1598
30/01/23,1783
06/02/23,1648
13/02/23,1119
20/02/23,1718
27/02/23,1316
06/03/23,1691
13/03/23,1701
20/03/23,1656
27/03/23,1828
03/04/23,1837
10/04/23,1801
17/04/23,1780
24/04/23,1545
01/05/23,1216
08/05/23,1726
15/05/23,1799
22/05/23,1801
29/05/23,1853
05/06/23,1671
12/06/23,1810
19/06/23,1854
26/06/23,1414
03/07/23,1456
10/07/23,1425
17/07/23,1499
24/07/23,1500
31/07/23,1539
07/08/23,1433
14/08/23,1480
21/08/23,1487
28/08/23,1481
04/09/23,1474
11/09/23,1158
18/09/23,1633
25/09/23,1625
02/10/23,1722
09/10/23,1807
16/10/23,1828
23/10/23,1810
30/10/23,1956
06/11/23,1995
13/11/23,2002
20/11/23,1885
27/11/23,1902
04/12/23,1895
11/12/23,1726
18/12/23,1294
01/01/24,84
08/01/24,1427
15/01/24,1816
22/01/24,2102
