Год,Номер недели,Work
2021,52,5895
2022,1,6146
2022,2,10868
2022,3,12266
2022,4,12793
2022,5,13235
2022,6,11396
2022,7,8443
2022,8,5849
2022,9,5851
2022,10,4536
2022,11,5901
2022,12,6015
2022,13,5258
2022,14,5186
2022,15,4631
2022,16,4899
2022,17,4487
2022,18,3092
2022,19,3297
2022,20,4455
2022,21,4923
2022,22,4716
2022,23,4525
2022,24,3874
2022,25,4694
2022,26,4457
2022,27,4395
2022,28,4389
2022,29,3877
2022,30,3875
2022,31,3839
2022,32,3982
2022,33,3847
2022,34,4136
2022,35,4131
2022,36,4499
2022,37,4671
2022,38,4452
2022,39,4329
2022,40,4527
2022,41,4429
2022,42,4708
2022,43,4511
2022,44,4093
2022,45,5091
2022,46,5032
2022,47,4819
2022,48,5332
2022,49,5058
2022,50,4822
2022,51,4494
2022,52,4803
2023,1,887
2023,2,5108
2023,3,5006
2023,4,5006
2023,5,5006
2023,6,5014
2023,7,5021
2023,8,3381
2023,9,5377
2023,10,4691
2023,11,5481
2023,12,5302
2023,13,5344
2023,14,5570
2023,15,5163
2023,16,5263
2023,17,4898
2023,18,4375
2023,19,3812
2023,20,4848
2023,21,4989
2023,22,4877
2023,23,4786
2023,24,4301
2023,25,4737
2023,26,4780
2023,27,4092
2023,28,4028
2023,29,4021
2023,30,4125
2023,31,3227
2023,32,3225
2023,33,3076
2023,34,3102
2023,35,3572
2023,36,3835
2023,37,4038
2023,38,4535
2023,39,4465
2023,40,4610
2023,41,4847
2023,42,4948
2023,43,4938
2023,44,4783
2023,45,4835
2023,46,4847
2023,47,4490
2023,48,4473
2023,49,4293
2023,50,4764
2023,51,4087
2023,52,3313
2024,1,950
2024,2,3317
2024,3,3939
2024,4,4533
