Год,Номер недели,Work
2021,52,0
2022,1,43
2022,2,424
2022,3,430
2022,4,336
2022,5,302
2022,6,312
2022,7,295
2022,8,265
2022,9,476
2022,10,295
2022,11,515
2022,12,560
2022,13,524
2022,14,524
2022,15,532
2022,16,611
2022,17,596
2022,18,339
2022,19,368
2022,20,606
2022,21,599
2022,22,624
2022,23,645
2022,24,575
2022,25,665
2022,26,641
2022,27,558
2022,28,559
2022,29,443
2022,30,441
2022,31,470
2022,32,477
2022,33,475
2022,34,480
2022,35,444
2022,36,413
2022,37,478
2022,38,503
2022,39,490
2022,40,539
2022,41,513
2022,42,513
2022,43,565
2022,44,494
2022,45,651
2022,46,647
2022,47,586
2022,48,610
2022,49,612
2022,50,683
2022,51,633
2022,52,625
2023,1,94
2023,2,667
2023,3,702
2023,4,666
2023,5,658
2023,6,681
2023,7,731
2023,8,436
2023,9,649
2023,10,587
2023,11,719
2023,12,689
2023,13,738
2023,14,695
2023,15,672
2023,16,657
2023,17,640
2023,18,566
2023,19,435
2023,20,741
2023,21,757
2023,22,692
2023,23,712
2023,24,607
2023,25,733
2023,26,683
2023,27,692
2023,28,586
2023,29,572
2023,30,621
2023,31,537
2023,32,501
2023,33,438
2023,34,510
2023,35,495
2023,36,521
2023,37,495
2023,38,522
2023,39,567
2023,40,642
2023,41,701
2023,42,667
2023,43,646
2023,44,686
2023,45,578
2023,46,614
2023,47,615
2023,48,650
2023,49,658
2023,50,701
2023,51,473
2023,52,491
2024,1,70
2024,2,431
2024,3,563
2024,4,533
