Год,Номер недели,Work
2021,52,0
2022,1,100
2022,2,451
2022,3,490
2022,4,471
2022,5,446
2022,6,506
2022,7,514
2022,8,541
2022,9,669
2022,10,431
2022,11,715
2022,12,767
2022,13,774
2022,14,767
2022,15,793
2022,16,733
2022,17,700
2022,18,437
2022,19,441
2022,20,590
2022,21,674
2022,22,659
2022,23,724
2022,24,629
2022,25,738
2022,26,600
2022,27,651
2022,28,559
2022,29,524
2022,30,463
2022,31,505
2022,32,481
2022,33,491
2022,34,476
2022,35,456
2022,36,506
2022,37,477
2022,38,499
2022,39,538
2022,40,553
2022,41,535
2022,42,603
2022,43,628
2022,44,506
2022,45,607
2022,46,623
2022,47,502
2022,48,625
2022,49,631
2022,50,616
2022,51,515
2022,52,550
2023,1,59
2023,2,564
2023,3,582
2023,4,602
2023,5,590
2023,6,621
2023,7,578
2023,8,451
2023,9,660
2023,10,528
2023,11,704
2023,12,713
2023,13,748
2023,14,654
2023,15,601
2023,16,801
2023,17,785
2023,18,614
2023,19,489
2023,20,788
2023,21,755
2023,22,785
2023,23,801
2023,24,669
2023,25,914
2023,26,825
2023,27,781
2023,28,654
2023,29,771
2023,30,765
2023,31,717
2023,32,625
2023,33,594
2023,34,591
2023,35,634
2023,36,679
2023,37,670
2023,38,709
2023,39,744
2023,40,821
2023,41,873
2023,42,788
2023,43,903
2023,44,907
2023,45,800
2023,46,784
2023,47,800
2023,48,743
2023,49,782
2023,50,765
2023,51,523
2023,52,476
2024,1,73
2024,2,369
2024,3,518
2024,4,566
