Год,Номер недели,Work
2021,52,22
2022,1,483
2022,2,9567
2022,3,8791
2022,4,7465
2022,5,6124
2022,6,6623
2022,7,7775
2022,8,7706
2022,9,11323
2022,10,7352
2022,11,11553
2022,12,12460
2022,13,11992
2022,14,12212
2022,15,13190
2022,16,12332
2022,17,12401
2022,18,7741
2022,19,7712
2022,20,12564
2022,21,13005
2022,22,13916
2022,23,13853
2022,24,11514
2022,25,12867
2022,26,12016
2022,27,12108
2022,28,11644
2022,29,11238
2022,30,11297
2022,31,11895
2022,32,12250
2022,33,12297
2022,34,12199
2022,35,12446
2022,36,12262
2022,37,12730
2022,38,13203
2022,39,12206
2022,40,13509
2022,41,14145
2022,42,14159
2022,43,14690
2022,44,12315
2022,45,15460
2022,46,15317
2022,47,14697
2022,48,14350
2022,49,14039
2022,50,13059
2022,51,12509
2022,52,9937
2023,1,858
2023,2,12088
2023,3,13581
2023,4,14749
2023,5,14939
2023,6,15458
2023,7,16532
2023,8,10792
2023,9,17505
2023,10,13880
2023,11,18121
2023,12,18530
2023,13,19053
2023,14,19276
2023,15,18322
2023,16,18971
2023,17,18585
2023,18,15762
2023,19,13378
2023,20,19710
2023,21,19812
2023,22,20064
2023,23,19248
2023,24,16114
2023,25,18021
2023,26,17448
2023,27,16853
2023,28,16214
2023,29,15220
2023,30,15390
2023,31,14380
2023,32,15513
2023,33,15969
2023,34,16546
2023,35,17260
2023,36,16384
2023,37,17013
2023,38,13292
2023,39,18131
2023,40,18510
2023,41,18855
2023,42,19398
2023,43,19975
2023,44,19885
2023,45,17952
2023,46,21204
2023,47,20680
2023,48,20097
2023,49,18940
2023,50,18092
2023,51,16615
2023,52,14856
2024,1,1185
2024,2,13964
2024,3,17769
2024,4,18770
