Год,Номер недели,Work
2021,52,8
2022,1,415
2022,2,2156
2022,3,2162
2022,4,2066
2022,5,1900
2022,6,1952
2022,7,2135
2022,8,2023
2022,9,2318
2022,10,1602
2022,11,2272
2022,12,2382
2022,13,2417
2022,14,2411
2022,15,2423
2022,16,2384
2022,17,2094
2022,18,1626
2022,19,1829
2022,20,2549
2022,21,2401
2022,22,2398
2022,23,2135
2022,24,2020
2022,25,2167
2022,26,2124
2022,27,2163
2022,28,2089
2022,29,1853
2022,30,1621
2022,31,1762
2022,32,1754
2022,33,1728
2022,34,1820
2022,35,1798
2022,36,1824
2022,37,1913
2022,38,1942
2022,39,1864
2022,40,2071
2022,41,2088
2022,42,2242
2022,43,2157
2022,44,1909
2022,45,2152
2022,46,2273
2022,47,2113
2022,48,2238
2022,49,2127
2022,50,2091
2022,51,2076
2022,52,1413
2023,1,486
2023,2,1995
2023,3,2113
2023,4,2059
2023,5,2049
2023,6,2025
2023,7,2090
2023,8,1624
2023,9,2036
2023,10,1882
2023,11,2134
2023,12,2152
2023,13,2023
2023,14,1907
2023,15,1918
2023,16,2175
2023,17,1987
2023,18,1766
2023,19,1650
2023,20,2014
2023,21,2121
2023,22,2095
2023,23,2000
2023,24,2014
2023,25,2221
2023,26,2182
2023,27,2056
2023,28,2061
2023,29,1997
2023,30,2033
2023,31,1872
2023,32,1532
2023,33,1762
2023,34,1678
2023,35,1668
2023,36,1758
2023,37,1680
2023,38,1713
2023,39,1783
2023,40,2168
2023,41,2214
2023,42,2360
2023,43,2378
2023,44,2223
2023,45,2321
2023,46,2366
2023,47,2256
2023,48,2266
2023,49,2367
2023,50,2098
2023,51,1681
2023,52,1327
2024,1,544
2024,2,1461
2024,3,1712
2024,4,1878
