Год,Номер недели,Work
2021,52,0
2022,1,169
2022,2,669
2022,3,710
2022,4,667
2022,5,609
2022,6,643
2022,7,688
2022,8,683
2022,9,852
2022,10,619
2022,11,853
2022,12,935
2022,13,985
2022,14,948
2022,15,943
2022,16,924
2022,17,885
2022,18,612
2022,19,577
2022,20,800
2022,21,897
2022,22,885
2022,23,909
2022,24,792
2022,25,905
2022,26,825
2022,27,806
2022,28,790
2022,29,621
2022,30,664
2022,31,660
2022,32,679
2022,33,706
2022,34,718
2022,35,786
2022,36,740
2022,37,738
2022,38,678
2022,39,697
2022,40,753
2022,41,759
2022,42,781
2022,43,847
2022,44,777
2022,45,836
2022,46,913
2022,47,866
2022,48,810
2022,49,866
2022,50,820
2022,51,875
2022,52,761
2023,1,139
2023,2,817
2023,3,885
2023,4,906
2023,5,928
2023,6,837
2023,7,937
2023,8,643
2023,9,926
2023,10,876
2023,11,985
2023,12,900
2023,13,796
2023,14,836
2023,15,802
2023,16,904
2023,17,929
2023,18,792
2023,19,590
2023,20,870
2023,21,878
2023,22,955
2023,23,940
2023,24,789
2023,25,939
2023,26,924
2023,27,956
2023,28,922
2023,29,960
2023,30,984
2023,31,855
2023,32,690
2023,33,751
2023,34,792
2023,35,752
2023,36,786
2023,37,790
2023,38,762
2023,39,780
2023,40,889
2023,41,893
2023,42,889
2023,43,967
2023,44,936
2023,45,853
2023,46,962
2023,47,906
2023,48,889
2023,49,933
2023,50,995
2023,51,863
2023,52,715
2024,1,131
2024,2,593
2024,3,809
2024,4,755
