Год,Номер недели,Work
2021,52,0
2022,1,2
2022,2,9
2022,3,14
2022,4,7
2022,5,6
2022,6,5
2022,7,7
2022,8,3
2022,9,7
2022,10,5
2022,11,11
2022,12,7
2022,13,8
2022,14,12
2022,15,7
2022,16,5
2022,17,10
2022,18,3
2022,19,6
2022,20,11
2022,21,6
2022,22,10
2022,23,10
2022,24,7
2022,25,8
2022,26,4
2022,27,9
2022,28,14
2022,29,9
2022,30,6
2022,31,13
2022,32,7
2022,33,7
2022,34,8
2022,35,7
2022,36,4
2022,37,3
2022,38,5
2022,39,8
2022,40,4
2022,41,7
2022,42,7
2022,43,7
2022,44,7
2022,45,8
2022,46,9
2022,47,9
2022,48,2
2022,49,4
2022,50,1
2022,51,6
2022,52,1
2023,1,
2023,2,6
2023,3,6
2023,4,6
2023,5,4
2023,6,3
2023,7,9
2023,8,8
2023,9,7
2023,10,5
2023,11,4
2023,12,7
2023,13,4
2023,14,10
2023,15,5
2023,16,10
2023,17,6
2023,18,9
2023,19,15
2023,20,8
2023,21,7
2023,22,4
2023,23,12
2023,24,9
2023,25,6
2023,26,6
2023,27,9
2023,28,6
2023,29,9
2023,30,5
2023,31,18
2023,32,11
2023,33,14
2023,34,16
2023,35,15
2023,36,11
2023,37,8
2023,38,17
2023,39,10
2023,40,9
2023,41,15
2023,42,16
2023,43,17
2023,44,16
2023,45,21
2023,46,15
2023,47,14
2023,48,13
2023,49,16
2023,50,22
2023,51,18
2023,52,11
2024,1,1
2024,2,12
2024,3,17
2024,4,17
