Год,Номер недели,Work
2021,52,2459
2022,1,12450
2022,2,48904
2022,3,47364
2022,4,40234
2022,5,36502
2022,6,38752
2022,7,41694
2022,8,37030
2022,9,51042
2022,10,34205
2022,11,49459
2022,12,50318
2022,13,50840
2022,14,50735
2022,15,51049
2022,16,52467
2022,17,50926
2022,18,35032
2022,19,36898
2022,20,49762
2022,21,49537
2022,22,51298
2022,23,50765
2022,24,43269
2022,25,49610
2022,26,47244
2022,27,45602
2022,28,44692
2022,29,42179
2022,30,41797
2022,31,43325
2022,32,44939
2022,33,45428
2022,34,46641
2022,35,46749
2022,36,46779
2022,37,48811
2022,38,50648
2022,39,51754
2022,40,56081
2022,41,58698
2022,42,56580
2022,43,55710
2022,44,48445
2022,45,59626
2022,46,60199
2022,47,59891
2022,48,58591
2022,49,60269
2022,50,61993
2022,51,59045
2022,52,53848
2023,1,17919
2023,2,63320
2023,3,64399
2023,4,66823
2023,5,66227
2023,6,67630
2023,7,67842
2023,8,47139
2023,9,70602
2023,10,58905
2023,11,71813
2023,12,68710
2023,13,68242
2023,14,69610
2023,15,67309
2023,16,68812
2023,17,66709
2023,18,57542
2023,19,51345
2023,20,69385
2023,21,67907
2023,22,66736
2023,23,66782
2023,24,58669
2023,25,64272
2023,26,62669
2023,27,60799
2023,28,57980
2023,29,55189
2023,30,55895
2023,31,55461
2023,32,57958
2023,33,60121
2023,34,62771
2023,35,65026
2023,36,65924
2023,37,70998
2023,38,57632
2023,39,75766
2023,40,75385
2023,41,77244
2023,42,80582
2023,43,81841
2023,44,77787
2023,45,75167
2023,46,86118
2023,47,84809
2023,48,85952
2023,49,89244
2023,50,89340
2023,51,90770
2023,52,81751
2024,1,16148
2024,2,80644
2024,3,98705
2024,4,99858
